state,state_heuristic,first_mover_opt_move,second_mover_opt_move
"(1, -1, 1, -1, 1, -1, 1, 0, 0)",2.0907515812876897e-07,,
"(1, -1, 1, -1, 1, -1, -1, 1, 1)",2.581174791713197e-09,,
"(1, -1, 1, -1, 1, -1, -1, 1, 0)",2.581174791713197e-09,[8],[8]
"(1, -1, 1, -1, 1, -1, 1, 1, -1)",2.581174791713197e-09,,
"(1, -1, 1, -1, 1, -1, 0, 1, -1)",2.581174791713197e-09,[6],[6]
"(1, -1, 1, -1, 1, -1, 0, 1, 0)",5.162349583426394e-09,"[6, 8]","[6, 8]"
"(1, -1, 1, -1, 1, -1, 0, 0, 1)",2.0907515812876897e-07,,
"(1, -1, 1, -1, 1, -1, 0, 0, 0)",4.233126658409643e-07,"[6, 8]",[7]
"(1, -1, 1, -1, 1, 1, -1, -1, 1)",2.581174791713197e-09,,
"(1, -1, 1, -1, 1, 1, -1, -1, 0)",2.581174791713197e-09,[8],[8]
"(1, -1, 1, -1, 1, 1, -1, 1, -1)",0.0,,
"(1, -1, 1, -1, 1, 1, -1, 0, -1)",0.0,[7],[7]
"(1, -1, 1, -1, 1, 1, -1, 0, 0)",2.581174791713197e-09,[7],[8]
"(1, -1, 1, -1, 1, 0, -1, 1, -1)",0.0,[5],[5]
"(1, -1, 1, -1, 1, 0, -1, 1, 0)",2.581174791713197e-09,[5],[8]
"(1, -1, 1, -1, 1, 0, -1, 0, 1)",2.0907515812876897e-07,,
"(1, -1, 1, -1, 1, 0, -1, 0, 0)",2.1423750771219536e-07,[8],"[5, 7]"
"(1, -1, 1, -1, 1, 1, 1, -1, -1)",2.581174791713197e-09,,
"(1, -1, 1, -1, 1, 1, 0, -1, -1)",2.581174791713197e-09,[6],[6]
"(1, -1, 1, -1, 1, 1, 0, -1, 0)",5.162349583426394e-09,"[6, 8]","[6, 8]"
"(1, -1, 1, -1, 1, 0, 1, -1, 0)",2.0907515812876897e-07,,
"(1, -1, 1, -1, 1, 0, 0, -1, 1)",2.0907515812876897e-07,,
"(1, -1, 1, -1, 1, 0, 0, -1, 0)",4.233126658409643e-07,"[6, 8]",[5]
"(1, -1, 1, -1, 1, 1, 0, 0, -1)",2.581174791713197e-09,[7],[6]
"(1, -1, 1, -1, 1, 0, 1, 0, -1)",2.0907515812876897e-07,,
"(1, -1, 1, -1, 1, 0, 0, 1, -1)",2.581174791713197e-09,[5],[6]
"(1, -1, 1, -1, 1, 0, 0, 0, -1)",2.142375077121954e-07,[6],"[5, 7]"
"(1, -1, 1, -1, 1, 0, 0, 0, 0)",1.2751003471063193e-06,"[5, 7]",[6]
"(1, -1, 1, -1, -1, 1, 1, -1, 0)",-2.3230573125418773e-08,,
"(1, -1, 1, -1, -1, 1, 1, 1, -1)",0.0,,
"(1, -1, 1, -1, -1, 1, 1, 0, -1)",0.0,[7],[7]
"(1, -1, 1, -1, -1, 1, 1, 0, 0)",-2.3230573125418773e-08,[8],[7]
"(1, -1, 1, -1, -1, 1, -1, 1, 1)",2.581174791713197e-09,,
"(1, -1, 1, -1, -1, 1, -1, 1, 0)",2.581174791713197e-09,[8],[8]
"(1, -1, 1, -1, -1, 1, 0, 1, -1)",0.0,[6],[6]
